sample_id,timestamp,accel_x,accel_y,accel_z,label
tilt_forward_52,880,0.881714,-0.025024,-0.469849,tilt forward
tilt_forward_52,900,0.891968,-0.022583,-0.479736,tilt forward
tilt_forward_52,920,0.858887,-0.021362,-0.456421,tilt forward
tilt_forward_52,940,0.868774,-0.031128,-0.461670,tilt forward
tilt_forward_52,960,0.860229,-0.024170,-0.482056,tilt forward
tilt_forward_52,980,0.878662,-0.032593,-0.467163,tilt forward
tilt_forward_53,0,-0.165283,-0.018433,0.993530,tilt forward
tilt_forward_53,20,-0.142578,-0.034546,0.998657,tilt forward
tilt_forward_53,40,-0.163208,-0.022095,0.979614,tilt forward
tilt_forward_53,60,-0.174805,-0.020264,0.972900,tilt forward
tilt_forward_53,80,-0.179443,-0.015869,0.973755,tilt forward
tilt_forward_53,100,-0.173218,-0.017212,0.973633,tilt forward
tilt_forward_53,120,-0.166260,-0.019531,0.964600,tilt forward
tilt_forward_53,140,-0.164062,-0.013794,0.963501,tilt forward
tilt_forward_53,160,-0.179810,-0.009521,0.963501,tilt forward
tilt_forward_53,180,-0.193359,-0.017578,0.961548,tilt forward
tilt_forward_53,200,-0.179443,-0.021851,0.964111,tilt forward
tilt_forward_53,220,-0.179321,-0.025146,0.960449,tilt forward
tilt_forward_53,240,-0.190308,-0.021240,0.957764,tilt forward
tilt_forward_53,260,-0.226196,-0.030151,0.958496,tilt forward
tilt_forward_53,280,-0.344971,-0.052856,1.006470,tilt forward
tilt_forward_53,300,-0.583618,0.014038,1.156006,tilt forward
tilt_forward_53,320,-0.869263,0.041260,1.269043,tilt forward
tilt_forward_53,340,-0.257690,-0.101685,0.755005,tilt forward
tilt_forward_53,360,-0.150635,-0.026367,0.089478,tilt forward
tilt_forward_53,380,0.811768,-0.062012,-0.624756,tilt forward
tilt_forward_53,400,0.905518,0.030518,-0.461182,tilt forward
tilt_forward_53,420,1.285400,0.082397,-0.174927,tilt forward
